1471487711 head head head -1.000000 head head 1471487938
1471487938 2 Íõ¾ÅÖİ 2016/8/21 3000.000000 ±¬Õ¨ Ô¬»ª²¨ 1471765406
1471488304 head head head -1.000000 head head 1471765407
1472390484 head head head -1.000000 head head 1472390485
1472392004 head head head -1.000000 head head 1472392005
1472557316 head head head -1.000000 head head 1472557317
1471496594 head head head -1.000000 head head 1471496595
1471785283 head head head -1.000000 head head 1471785284
1471496591 head head head -1.000000 head head 1471496592
1471496592 3 Ã·âùêÏ 2015/4/4 2000.000000 ×¡ËŞ Ô¬»ª²¨ 1471773904
1471773904 3 Ã·âùêÏ 1994/2/3 233.000000 ³Ô·¹ ÖÜÈÊÏé 1473233765
1471769943 head head head -1.000000 head head 1471769944
1471769944 5 ³Â²¨ 2015/3/2 20000.000000 ×¡ËŞ Ô¬»ª²¨ 1471769946
