1471450544 head head H head head -1 head head head headhhead head 1471450551 1471450545
1471450551 2 王九州 F 1997/8/2 本科 4 1992 3 1栋 202 120 1471487713 1471487711
1471487713 1 唐艺峰 M 1996/8/7 本科 3 2000 4 1栋 512 120 1471792695 1471488304
1471792695 7 张嘉远 M 1997/5/1 本科 3 1222 3 1栋 521 222 1472390486 1472390484
1472390486 8 邱道贤 M 2000/2/1 本科 4 2000 3 1栋 333 444 1472557096 1472392004
1472557096 10 张仕钊 M 2001/3/3 本科 3 1999 3 1栋 232 123 1472557318 1472557316
1471770573 head head H head head -1 head head head headhhead head 1471496593 1471770574
1471496593 4 唐艺峰 M 1996/9/7 本科 4 1997 3 2栋 521 999 1471770576 1471496594
1471770576 6 陈严 M 2015/3/2 本科 4 2010 3 2栋 302 333 1471488306 1471785283
1471488306 3 梅怡晗 F 1997/4/16 本科 4 2015 3 2栋 521 119 1471496596 1471496591
1471496596 5 陈波 F 1823/3/2 本科 5 1891 3 2栋 201 231 1473166424 1471769943
1471858032 head head H head head -1 head head head headhhead head 1471858035 1471858033
